,GreenUsers,NormalUsers,Period,TotalEmission,SimulationIndex
0,44,6,0,10163.830002879133,0
1,44,6,1,10163.830002879133,0
2,44,6,2,10163.830002879133,0
3,44,6,3,10163.830002879133,0
4,44,6,4,10163.830002879133,0
5,44,6,5,10163.830002879133,0
6,44,6,6,10163.830002879133,0
7,44,6,7,10163.830002879133,0
8,44,6,8,10163.830002879133,0
9,44,6,9,10163.830002879133,0
0,46,4,0,9277.837444905528,1
1,44,6,1,9293.84529659548,1
2,46,4,2,9473.972955583355,1
3,46,4,3,9669.977897656214,1
4,46,4,4,9870.561480281473,1
5,46,4,5,10075.728165730496,1
6,46,4,6,10285.59846081616,1
7,47,3,7,10489.649139584777,1
8,47,3,8,10709.070025540877,1
9,47,3,9,10933.552723969773,1
